ODSEW-ShBeI-t1uDwd-hSRGPd href,ODSEW-ShBeI-t1uDwd-HiaYvf src,user_name,guide_status,num_reviews,ODSEW-ShBeI-z5C9Gb-icon src,ODSEW-ShBeI-fI6EEc src,ODSEW-ShBeI-fI6EEc src 2,unknown,uknown2,ODSEW-ShBeI-fI6EEc src 5,how_long_ago,ODSEW-ShBeI-jfdpUb,written_review,ODSEW-ShBeI-Sc2xXc-icon src,ODSEW-ShBeI-KFwaDe-V67aGc,ODSEW-ShBeI-Sc2xXc-icon src 2,ODSEW-ShBeI-KFwaDe-V67aGc 2
https://www.google.com/maps/contrib/110152488021203962591/reviews?hl=en-US,https://lh3.googleusercontent.com/a-/AOh14GhKIveFJJZ2K1pAzBUQmnWsli1CdqYWGQTzt6j36g=w36-h36-p-c0x00000000-rp-mo-ba3-br100,Kenton Anderson,Local Guide,・10 reviews,https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,2 years ago,New,"The burgers have a good flavor, but a little too greasy for my taste. I like the potato peels on the fries. The pickles have a little kick to them. Customer service was great. Overall, pretty good, but I personally prefer habit, smash, or in n' out which are similar in quality.",https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png,Like,https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png,Share
https://www.google.com/maps/contrib/105192174577815150810/reviews?hl=en-US,https://lh3.googleusercontent.com/a-/AOh14Gh1Wpz0RzuPPMYOVYaVlFfeU8_lUp2_cg1UbIiA1g=w36-h36-p-c0x00000000-rp-mo-ba3-br100,Anna Lifterova,Local Guide,・76 reviews,https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,3 months ago,New,"Wow! 9.25$ for a double burger + 1$ for cheese and the burger is completely tasteless. The patty had no salt or pepper (absolutely tasteless)! Not just my opinion, my husband agreed with me. Also forgot to put the toppings I asked for. Will definitely choose McDonald’s over this next time. What a shame!",https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png,Like,https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png,Share
https://www.google.com/maps/contrib/104493583388425274146/reviews?hl=en-US,https://lh3.googleusercontent.com/a-/AOh14GiYlBScRQ0IStPfmyc1x5wPP5vUoSk2U14H8CJeHQ=w36-h36-p-c0x00000000-rp-mo-br100,Eric Wong,Local Guide,26 reviews,https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,a month ago,New,"Very, very, very good burgers & garlic fries. But very, very expen$ive too. About $70 for family of 4. We'll do it again, but after we save back up.",https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png,Like,https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png,Share
https://www.google.com/maps/contrib/110043214642936882357/reviews?hl=en-US,https://lh3.googleusercontent.com/a/AATXAJzD8rOdvNsDuBMxHDuraLapaaNMqMLgr8FGfJdiOQ=w36-h36-p-c0x00000000-rp-mo-br100,Garrett Murray,Local Guide,8 reviews,https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,5 months ago,New,Great burgers and garlic fries. Best burger chain for this price range in the Bay Area. This location has friendly employees and produce great food. Plenty of space inside and outside for dining.,https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png,Like,https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png,Share
https://www.google.com/maps/contrib/109898202375586796093/reviews?hl=en-US,https://lh3.googleusercontent.com/a-/AOh14GhGtTnRo6TGhxp9YtSVd6qbN7EWB4HOcKTNsbGY=w36-h36-p-c0x00000000-rp-mo-ba3-br100,Mayura. S.,Local Guide,・45 reviews,https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,a year ago,New,"What a lovely place! Open, with lots of light and fantastic food. Must visit! My only regret is, I forgot to take a pic of my Veggie burger. I highly recommend it. The portion size was perfect and some play time for the kids. We also tried the tangerine beer and it was yumm!",https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png,Like,https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png,Share
https://www.google.com/maps/contrib/113463850398855294560/reviews?hl=en-US,https://lh3.googleusercontent.com/a-/AOh14GiW4iNYYTMWyRC5dXpjn_qoE2Atpv4gcp7QWv-EfyI=w36-h36-p-c0x00000000-rp-mo-ba7-br100,Mini Rag,Local Guide,・486 reviews,https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,a year ago,New,"You should go to Super Duper! The menu is small and perfect. Two beef, one chicken and one excellent vegetarian burger. With I interesting toppings, hamus, avocado, fresh cucumbers etc. Burgers are $7. The fries are warm and crispy each …",https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png,,https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png,Share
https://www.google.com/maps/contrib/115637724596241643760/reviews?hl=en-US,https://lh3.googleusercontent.com/a/AATXAJzFcemJr2K9IOZ0CxyLOz7m4R_oBQ221pEyCAiz=w36-h36-p-c0x00000000-rp-mo-br100,Karen Bryan,Local Guide,15 reviews,https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,5 days ago,New,It was good. Serves was excellent!!,https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png,Like,https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png,Share
https://www.google.com/maps/contrib/103047531201772207702/reviews?hl=en-US,https://lh3.googleusercontent.com/a-/AOh14GhhDR4mNxy-H0YIFRm24siCvav_ZTKv4ZAPl3nkUg=w36-h36-p-c0x00000000-rp-mo-ba3-br100,Brijesh Bharadwaj,Local Guide,・24 reviews,https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,2 months ago,New,"It supposedly closes at 9, arrived around 30 mins before and placed the entire order including a kids ice cream cone. …",https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png,Like,https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png,Share
https://www.google.com/maps/contrib/111224344213617297250/reviews?hl=en-US,https://lh3.googleusercontent.com/a-/AOh14GhWrxAfEpIItbQ59EEjQ4WTXf-L55ZPrwaQFga36PQ=w36-h36-p-c0x00000000-rp-mo-ba2-br100,Ignacio,Local Guide,・20 reviews,https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,a month ago,New,"Pricey but good burger, very juicy meat. $10 double patty burger sides not included.",https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png,Like,https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png,Share
https://www.google.com/maps/contrib/104223337785055956749/reviews?hl=en-US,https://lh3.googleusercontent.com/a-/AOh14Ghs65MHXM6-51DdPv6o7nlW7vREr9yKnghH3jCF=w36-h36-p-c0x00000000-rp-mo-br100,Angelina Agbalog,Local Guide,6 reviews,https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,5 months ago,New,The service here was great. A coworker suggested the place and I am so thankful she did. Super fresh and the garlic fries are a must try.,https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png,Like,https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png,Share
